Expression	Familiarity	Transparency	MC_Correct
een vinger aan de pols houden	2.74	2.84	0.97
iemand tegen het zere been schoppen	2.74	3.96	1
bij iemand een wit voetje halen	2.75	2.5	0.88
als paddenstoelen uit de grond schieten	2.75	3.29	0.71
ergens tegenaan schoppen	2.76		0.86
iemand van de wal in de sloot helpen	2.77	3.97	0.97
iemand een oor aannaaien	2.78	2.39	0.96
de hand op de knip houden	2.78	2.74	0.7
geen slapende honden wakker maken	2.79	3.08	0.92
er zijn kapers op de kust	2.79	3.36	0.61
het klappen van de zweep kennen	2.79	3.48	0.9
ergens mee voor de draad komen	2.8	2.03	0.57
het varkentje wassen	2.81	1.97	0.81
een vinger in de pap hebben	2.81	2.32	0.94
iemand iets op de mouw spelden	2.81	2.35	0.97
iets/iemand in de arm nemen	2.83	2.57	0.22
stof doen opwaaien	2.83	2.91	0.96
water naar de zee dragen	2.83	4.17	1
zijn stempel drukken op iets	2.86	3.1	1
een andere koers varen	2.86	3.86	0.9
ergens niet zo zwaar aan tillen	2.87	3.06	0.9
de koe bij de hoorns vatten	2.87	3.17	0.96
iets ter tafel brengen	2.87	3.3	0.96
schoon schip maken	2.88	3.03	0.94
mosterd na de maaltijd	2.89	3.61	0.86
de kogel is door de kerk	2.9	2.72	0.93
op zijn centen zitten	2.9	3.71	1
iemand iets onder de neus wrijven	2.95	2.48	0.9
geen been hebben om op te staan	2.95	2.62	0.81
aan de weg timmeren	2.95	3	0.86
iets uit de doeken doen	2.96	2.61	0.7
steeds verder van huis raken	3	3.43	0.95
tegen de lamp lopen	3.03	2.57	
onder de pannen zijn	3.03	2.7	0.9
de hand over het hart strijken	3.03	2.87	0.93
ergens geen kaas van gegeten hebben	3.03	3.06	0.94
niet in de haak zijn	3.04	2.93	0.96
zijn kaarten op tafel leggen	3.05	2.9	0.76
iemand tegen de schenen schoppen	3.05	3.71	0.71
de bloemetjes buiten zetten	3.09	2.78	1
alles/iedereen op een hoop gooien	3.09	3.14	0.82
iets/iemand in het vizier hebben	3.1	4.33	1
ergens geen doekjes om winden	3.13	2.75	0.92
niet goed uit de verf komen	3.13	2.83	0.9
alle zeilen bijzetten	3.13	3.17	0.96
druk van de ketel halen	3.13	3.4	0.97
op zijn dooie akkertje	3.14	2.86	0.93
met de rug tegen de muur staan	3.14	3.24	1
geen vinger uitsteken	3.14	3.73	1
iemand op zijn nummer zetten	3.15	2.94	0.94
alle stoppen doorslaan	3.15	3.85	1
een lijn trekken	3.17	2.88	0.83
iets op zijn duimpje kennen	3.19	2.97	1
buiten zijn boekje gaan	3.19	3.29	0.94
de dans ontspringen	3.19	3.29	1
van twee walletjes eten	3.19	3.52	1
van de baan zijn	3.2	2.97	0.97
naar de haaien gaan	3.2	3.57	1
de buit binnenhalen	3.21	3.46	1
zijn nek uitsteken	3.23	2.55	0.86
met de hand op het hart	3.23	3.33	0.9
het neusje van de zalm	3.24	2.9	0.93
iemand naar zijn hand zetten	3.24	3.21	0.9
in iemands vaarwater zitten	3.24	3.57	0.9
het roer in handen hebben	3.24	3.86	1
de vruchten plukken van iets	3.25	3.5	0.97
iemand in de pan hakken	3.26	3.16	0.9
ergens over struikelen	3.26	3.96	1
zijn hoofd in de wolken hebben	3.27	2.64	0.86
achter het net vissen	3.28	3.47	1
aan de grond genageld staan	3.29	1.95	0.62
in het water vallen	3.29	3.43	1
je eigen ruiten ingooien	3.29	3.67	0.92
water bij de wijn doen	3.3	2.83	0.83
iets uit de losse pols doen	3.3	3.13	0.96
aan de rand van de afgrond staan	3.3	4.04	1
een dikke huid hebben	3.32	3.45	1
iemand van het kastje naar de muur sturen	3.32	3.74	0.97
iets van tafel vegen	3.33	3.38	0.95
iets brandt op mijn lippen	3.33	3.81	1
iemand voor het blok zetten	3.35	2.74	0.9
het loopt storm	3.35	3.1	0.9
de vinger op de zere plek leggen	3.35	3.43	0.83
aan een zijden draadje hangen	3.36	3.14	0.91
de schouders eronder zetten	3.36	3.41	1
koek en ei zijn	3.37	2.17	0.67
de wind van voren krijgen	3.37	2.83	0.73
zijn lippen aflikken bij iets	3.38	3.48	1
ergens de buik vol van hebben	3.38	3.63	0.96
iemand het mes op de keel zetten	3.38	4.19	1
tussen de regels door lezen	3.39	2.96	0.91
iets/iemand komt boven water	3.39	3.61	1
je adem inhouden	3.39	3.96	1
een hoofd als een boei krijgen	3.4	3.8	0.97
iemands hete adem in je nek voelen	3.4	4.2	1
zich op glad ijs begeven	3.41	3.27	1
van de oude stempel zijn	3.41	3.44	0.97
iemand een spiegel voorhouden	3.42	3.13	0.96
iemand op de huid zitten	3.43	3.38	1
aan iemands neus voorbij gaan	3.43	3.57	1
brood op de plank	3.45	3.29	1
iets/iemand met de grond gelijk maken	3.45	3.36	1
een spelletje met iemand spelen	3.46	2.96	1
iets de grond in boren	3.46	3.36	0.96
er hangt iemand iets boven het hoofd	3.47	3.07	0.77
doen alsof je neus bloedt	3.48	2.61	0.91
iemand aan de tand voelen	3.48	2.83	0.96
ergens mee in de maag zitten	3.48	2.95	0.95
iemand op de tenen trappen	3.48	3.19	1
vol gas geven	3.48	3.91	1
iemand de rug toekeren	3.5	4.08	1
iets/iemand onder de duim houden	3.52	3.43	0.96
iemand onder de duim houden	3.52	3.43	0.96
iemand de wet voorschrijven	3.54	3.67	0.92
met de gebakken peren zitten	3.55	2.76	1
ergens grijze haren van krijgen	3.55	3.1	0.7
het hoofd laten hangen	3.55	3.59	1
de stoute schoenen aantrekken	3.57	2.7	0.87
iets op de kop tikken	3.57	2.76	0.95
iets/iemand onder de duim hebben	3.57	3.4	1
iets over een andere boeg gooien	3.57	3.57	1
ergens je pet voor af nemen	3.57	3.67	1
iemands ribben kunnen tellen	3.57	4.48	0.9
iemand de hand boven het hoofd houden	3.59	3.81	1
zijn laatste adem uitblazen	3.62	4.57	0.95
door het oog van de naald kruipen	3.63	3.33	0.93
het onderste uit de kan halen	3.63	3.5	0.87
geld over de balk gooien	3.63	4.2	1
iemand om zeep helpen	3.64	2.21	0.71
de spijker op de kop slaan	3.64	3.3	0.88
uit zijn neus eten	3.64	3.39	0.93
geen spier vertrekken	3.65	3.55	0.75
iets niet aan de grote klok hangen	3.65	3.7	1
iemand een trap na geven	3.65	4.3	1
onder het mes gaan	3.65	4.39	0.87
aan het roer staan	3.65	4.6	1
op je tenen lopen	3.67	2.73	0.9
ergens zijn neus voor optrekken	3.67	3.33	0.9
iemand wakker schudden	3.67	3.43	1
op een laag pitje staan	3.68	2.48	0.65
iets op stelten zetten	3.68	2.64	0.89
iemand op stang jagen	3.7	2.7	0.6
iemand in het nauw drijven	3.7	3.55	1
over zijn eigen woorden struikelen	3.7	4.2	0.95
een klein hartje hebben	3.73	1.97	0.43
hard van stapel lopen	3.73	3.37	1
iets laten schieten	3.74	3	0.7
van zijn stokje gaan	3.75	3.08	1
een held op sokken zijn	3.76	2.9	0.86
ergens een schepje bovenop doen	3.76	3	1
bij de pakken neerzitten	3.76	3.29	1
zich in bochten wringen	3.76	3.39	1
iets met de paplepel ingegoten krijgen	3.78	3.91	1
buiten de boot vallen	3.81	3.38	0.97
met de deur in huis vallen	3.82	3.23	0.95
iemand iets in de schoenen schuiven	3.83	3.09	0.96
iemand om de tuin leiden	3.84	3.23	1
groene vingers hebben	3.86	3.76	1
slapend rijk worden	3.86	4.48	0.86
iets/iemand op de kast jagen	3.87	2.87	1
kort door de bocht	3.87	3.06	0.94
iemand voor de voeten lopen	3.87	4.35	1
iemand de mond snoeren	3.88	3.58	1
