Idiom	Frequency	Familiarity
de kogel is door de kerk	3.79	2.9
op zijn centen zitten	2.71	2.9
iemand iets onder de neus wrijven	3.24	2.95
geen been hebben om op te staan	3.38	2.95
aan de weg timmeren	3.1	2.95
iets uit de doeken doen	3.09	2.96
steeds verder van huis raken	3.14	3
tegen de lamp lopen	3.37	3.03
onder de pannen zijn	3.73	3.03
de hand over het hart strijken	3.67	3.03
ergens geen kaas van gegeten hebben	3.61	3.03
niet in de haak zijn	3.25	3.04
zijn kaarten op tafel leggen	3.05	3.05
iemand tegen de schenen schoppen	3.43	3.05
de bloemetjes buiten zetten	4.13	3.09
alles/iedereen op een hoop gooien	3.86	3.09
iets/iemand in het vizier hebben	3.67	3.1
ergens geen doekjes om winden	3.29	3.13
niet goed uit de verf komen	3.7	3.13
alle zeilen bijzetten	3.25	3.13
druk van de ketel halen	3.23	3.13
op zijn dooie akkertje	3.38	3.14
met de rug tegen de muur staan	3.33	3.14
geen vinger uitsteken	3.45	3.14
iemand op zijn nummer zetten	3.73	3.15
alle stoppen doorslaan	4.05	3.15
??n lijn trekken	3.42	3.17
iets op zijn duimpje kennen	3.48	3.19
buiten zijn boekje gaan	3.71	3.19
de dans ontspringen	3.39	3.19
van twee walletjes eten	3.67	3.19
van de baan zijn	3.3	3.2
naar de haaien gaan	2.93	3.2
de buit binnenhalen	3.63	3.21
zijn nek uitsteken	3.59	3.23
met de hand op het hart	3.9	3.23
het neusje van de zalm	3.69	3.24
iemand naar zijn hand zetten	3.59	3.24
in iemands vaarwater zitten	3.52	3.24
het roer in handen hebben	3.19	3.24
de vruchten plukken van iets	3.69	3.25
iemand in de pan hakken	3.68	3.26
ergens over struikelen	3.57	3.26
zijn hoofd in de wolken hebben	4	3.27
achter het net vissen	3.69	3.28
aan de grond genageld staan	3.38	3.29
in het water vallen	3.48	3.29
je eigen ruiten ingooien	3.13	3.29
water bij de wijn doen	3.96	3.3
iets uit de losse pols doen	3.96	3.3
aan de rand van de afgrond staan	3.91	3.3
een dikke huid hebben	3.64	3.32
iemand van het kastje naar de muur sturen	3.65	3.32
iets van tafel vegen	3.86	3.33
iets brandt op mijn lippen	3.62	3.33
iemand voor het blok zetten	3.84	3.35
het loopt storm	3.55	3.35
de vinger op de zere plek leggen	3.83	3.35
aan een zijden draadje hangen	3.91	3.36
de schouders eronder zetten	3.91	3.36
koek en ei zijn	3.3	3.37
de wind van voren krijgen	4.1	3.37
zijn lippen aflikken bij iets	3.29	3.38
ergens de buik vol van hebben	3.38	3.38
iemand het mes op de keel zetten	3.67	3.38
tussen de regels door lezen	4.35	3.39
iets/iemand komt boven water	3.81	3.39
je adem inhouden	4.13	3.39
een hoofd als een boei krijgen	3.4	3.4
iemands hete adem in je nek voelen	3.9	3.4
zich op glad ijs begeven	4.09	3.41
van de oude stempel zijn	3.44	3.41
iemand een spiegel voorhouden	3.75	3.42
iemand op de huid zitten	3.95	3.43
aan iemands neus voorbij gaan	4.22	3.43
brood op de plank	3.68	3.45
iets/iemand met de grond gelijk maken	4.09	3.45
een spelletje met iemand spelen	3.88	3.46
iets de grond in boren	4.14	3.46
er hangt iemand iets boven het hoofd	3.7	3.47
doen alsof je neus bloedt	3.52	3.48
iemand aan de tand voelen	4.26	3.48
ergens mee in de maag zitten	3.76	3.48
iemand op de tenen trappen	3.33	3.48
vol gas geven	4.13	3.48
iemand de rug toekeren	3.92	3.5
iets/iemand onder de duim houden	4.3	3.52
iemand onder de duim houden	4.3	3.52
iemand de wet voorschrijven	3.5	3.54
met de gebakken peren zitten	4.24	3.55
ergens grijze haren van krijgen	3.9	3.55
het hoofd laten hangen	4	3.55
de stoute schoenen aantrekken	3.87	3.57
iets op de kop tikken	3.71	3.57
iets/iemand onder de duim hebben	4.1	3.57
iets over een andere boeg gooien	3.96	3.57
ergens je pet voor af nemen	3.62	3.57
iemands ribben kunnen tellen	3.29	3.57
iemand de hand boven het hoofd houden	4.31	3.59
zijn laatste adem uitblazen	3.62	3.62
door het oog van de naald kruipen	4.03	3.63
het onderste uit de kan halen	3.57	3.63
geld over de balk gooien	3.6	3.63
iemand om zeep helpen	4.36	3.64
de spijker op de kop slaan	4.18	3.64
uit zijn neus eten	4.14	3.64
geen spier vertrekken	3.85	3.65
iets niet aan de grote klok hangen	3.95	3.65
iemand een trap na geven	4.13	3.65
onder het mes gaan	4.13	3.65
aan het roer staan	3.95	3.65
op je tenen lopen	4.13	3.67
ergens zijn neus voor optrekken	4.1	3.67
iemand wakker schudden	4.1	3.67
op een laag pitje staan	3.65	3.68
iets op stelten zetten	4.25	3.68
iemand op stang jagen	3.8	3.7
iemand in het nauw drijven	4	3.7
over zijn eigen woorden struikelen	4.1	3.7
een klein hartje hebben	3.9	3.73
hard van stapel lopen	4.17	3.73
iets laten schieten	4.26	3.74
van zijn stokje gaan	4	3.75
een held op sokken zijn	4.34	3.76
ergens een schepje bovenop doen	3.92	3.76
bij de pakken neerzitten	4.14	3.76
zich in bochten wringen	3.97	3.76
iets met de paplepel ingegoten krijgen	4.22	3.78
buiten de boot vallen	4.16	3.81
met de deur in huis vallen	4.32	3.82
iemand iets in de schoenen schuiven	4.09	3.83
iemand om de tuin leiden	4.19	3.84
groene vingers hebben	4.1	3.86
slapend rijk worden	4.19	3.86
iets/iemand op de kast jagen	4.06	3.87
kort door de bocht	4.55	3.87
iemand voor de voeten lopen	4.39	3.87
iemand de mond snoeren	3.83	3.88
iemand het hemd van het lijf vragen	4.24	3.88
aan de bak komen	4.24	3.9
lood in de schoenen hebben	4.19	3.9
om de tafel gaan zitten met iemand	4.4	3.9
ergens een potje van maken	4.17	3.93
voet bij stuk houden	4.19	3.94
met beide benen op de grond staan	4.43	3.96
iemand in een hokje plaatsen	4.3	3.96
een gat in je hand hebben	4.19	3.97
het bij het verkeerde eind hebben	4.45	3.97
naast zijn schoenen lopen	4.13	4
iets op je buik kunnen schrijven	4.34	4
stoom afblazen	4.65	4
je ei (niet) kwijt kunnen	4.35	4
iemand zwart maken	4.52	4
ergens geen touw aan vast kunnen knopen	4.27	4
iemand op het matje roepen	4.31	4
roet in het eten gooien	4.31	4
ergens een stokje voor steken	4.24	4
iets van de daken schreeuwen	4.23	4
door de bomen het bos niet meer zien	4.36	4
geen cent te makken hebben	4.43	4
uit zijn slof schieten	4.06	4.03
de moed in de schoenen zakken	4.41	4.03
met de mond vol tanden staan	4.62	4.03
het zijn twee handen op een buik	4.39	4.04
iemand op de vingers tikken	4.33	4.05
iemand een koekje van eigen deeg geven	4.29	4.06
veel in zijn mars hebben	4.39	4.07
zijn borst nat maken	4.33	4.09
de draad kwijt raken/zijn	4.57	4.09
de mist in gaan	4.43	4.1
het ver schoppen	4.45	4.1
oude koeien uit de sloot halen	4.38	4.1
om je vingers bij af te likken	4.19	4.1
op het puntje van de tong liggen	4.29	4.1
stevig in zijn schoenen staan	4.19	4.1
iemand een hart onder de riem steken	4.37	4.13
de touwtjes in handen hebben	4.25	4.13
het loodje leggen	4.36	4.14
iemand uit de brand helpen	4.41	4.14
te veel hooi op zijn vork nemen	4.41	4.14
dat gaat boven mijn pet	4.48	4.15
de kat uit de boom kijken	4.63	4.16
iemand aan het lijntje houden	4.48	4.17
iets boven tafel krijgen	3.93	4.17
buiten westen zijn	4.5	4.17
de sterren van de hemel spelen	4	4.17
iets onder de knie hebben/krijgen	4.39	4.19
door de mand vallen	4.52	4.19
het zit tussen de oren	4.76	4.21
in het geld zwemmen	4.21	4.21
met een schone lei beginnen	4.47	4.22
iets komt voor de bakker	4.33	4.23
voor iemand door het vuur gaan	4.27	4.23
van de hak op de tak springen	4.61	4.25
zich uit de naad werken	4.46	4.25
iemand in het zonnetje zetten	4.65	4.25
je gezicht laten zien	4.45	4.25
het klopt als een bus	4.58	4.26
in de put zitten	4.45	4.26
in de soep lopen	4.39	4.27
iets door de vingers zien	4.6	4.27
het ijs breken	4.38	4.29
niet door de beugel kunnen	4.45	4.29
het niet breed hebben	4.29	4.29
de handen uit de mouwen steken	4.38	4.29
van de kaart zijn	4.63	4.3
ergens een punt achter zetten	4.36	4.32
onder de wol kruipen	4.67	4.33
iets op prijs stellen	4.69	4.34
alles uit de kast halen	4.56	4.34
te diep in het glaasje kijken	4.64	4.36
iets uit je duim zuigen	4.42	4.38
uit zijn dak gaan	4.73	4.39
een gat in de lucht springen	4.73	4.39
elkaar in de haren vliegen	4.57	4.39
met de hakken over de sloot	4.6	4.4
de eerste stap zetten	4.5	4.4
voor spek en bonen	4.76	4.42
in de wolken zijn	4.43	4.43
